Lat,Long,Species,Present,Total
50.94,-2.824,Buff-tailed Bumblebee,1,206
51.17,-2.85,Common Carder,1,206
52.45,0.9918,Tree Bumblebee,1,206
55.84,-4.367,White/Buff-tailed Bumblebee workers,1,206
51.07,1.113,Common Carder,1,204
55.92,-3.269,a white-tailed bumblebee,1,204
57.28,-4.452,Early Bumblebee,1,203
50.85,-1.068,Buff-tailed Bumblebee,1,202
51.21,-2.831,Red-tailed Bumblebee,1,202
52.83,1.215,Common Carder,1,202
51.56,-0.152,Indet. Bee,1,201
54.19,-2.348,White/Buff-tailed Bumblebee workers,1,201
51,0.5895,Common Carder,1,199
51.2,-2.832,Common Carder,1,199
51.68,-2.531,Indet. Bee,1,199
53.97,-2.437,Red-tailed Bumblebee,1,199
50.98,-4.52,Indet. Bee,1,198
51.59,-0.02225,Tree Bumblebee,1,198
54.01,-0.4023,Common Carder,1,198
51.16,-2.853,White/Buff-tailed Bumblebee workers,1,197
52.28,-1.176,White/Buff-tailed Bumblebee workers,1,197
51.16,-2.834,White/Buff-tailed Bumblebee workers,1,196
57.6,-3.61,Buff-tailed Bumblebee,1,196
50.69,-3.301,Honeybee,1,195
50.94,0.9292,a white-tailed bumblebee,1,195
51.67,0.5739,Honeybee,1,195
55.95,-3.151,Indet. Bee,1,195
51.61,-1.233,a white-tailed bumblebee,1,194
52.76,0.3578,Honeybee,1,194
54.06,-1.451,Common Carder,1,194
55.92,-3.269,Red-tailed Bumblebee,1,194
51.03,-2.669,Red-tailed Bumblebee,1,193
51.16,-2.834,Red-tailed Bumblebee,1,193
53.95,-1.086,Buff-tailed Bumblebee,1,193
56.02,-2.858,White/Buff-tailed Bumblebee workers,1,193
50.93,0.92,Garden Bumblebee,1,192
51,0.5895,Garden Bumblebee,1,192
51.11,-2.764,Red-tailed Bumblebee,1,192
51.91,-4.349,Buff-tailed Bumblebee,1,192
52.45,0.9918,Honeybee,1,192
52.95,-1.479,a white-tailed bumblebee,1,192
53.07,-1.495,White/Buff-tailed Bumblebee workers,1,192
53.57,-2.921,Common Carder,1,191
56.47,-2.85,Common Carder,1,191
