,lat,lon,index,lat,lon
546,51.36,-2.944,42815,51.36,-2.944
547,51.4,-2.644,48075,51.4,-2.641
548,51.97,1.051,114703,51.97,1.055
549,52.34,1.503,130553,52.34,1.503
550,56.47,-2.99,241109,56.47,-2.989
551,50.91,-2.691,18384,50.91,-2.686
552,51.04,1.018,23995,51.04,1.021
553,51.89,-4.007,110423,51.89,-3.998
554,52.87,-3.101,155729,52.87,-3.105
555,55.62,-4.485,227886,55.62,-4.484
556,50.76,0.1324,9563,50.77,0.1313
557,51.16,0.3141,29733,51.16,0.3051
558,51.28,1.068,36755,51.28,1.068
559,51.36,1.043,43851,51.36,1.043
560,51.58,-1.143,82782,51.58,-1.142
561,51.96,-2.556,114149,51.96,-2.568
562,53.63,-1.76,193878,53.63,-1.761
563,54.08,-0.4485,210288,54.08,-0.4559
564,54.16,-2.314,211219,54.15,-2.309
565,54.27,-2.388,212378,54.28,-2.389
566,50.93,0.7451,19208,50.92,0.7329
567,51.12,-1.167,26792,51.11,-1.165
568,51.15,1.07,29443,51.15,1.068
569,51.22,-2.971,32223,51.22,-2.973
570,51.37,0.3089,45069,51.37,0.3066
571,52.35,-3.053,130580,52.35,-3.051
572,52.53,-1.951,139840,52.52,-1.951
573,56.14,-3.918,239234,56.14,-3.92
574,51.06,0.9071,25265,51.07,0.9121
575,51.89,-5.239,109573,51.88,-5.245
576,52.58,0.993,143694,52.58,0.995
577,53.7,-2.377,197650,53.72,-2.361
578,53.84,-1.506,205703,53.84,-1.506
579,56.16,-5.475,239047,56.13,-5.484
580,56.44,-2.882,240897,56.44,-2.882
581,53.59,-3.058,191554,53.59,-3.057
582,53.77,-2.223,201344,53.77,-2.223
583,51.3,1.025,37582,51.29,1.029
584,51.67,-0.1246,96565,51.68,-0.1283
585,53.43,-2.272,180855,53.43,-2.272
586,50.94,-4.139,20068,50.95,-4.139
587,51.61,-2.222,86242,51.6,-2.223
588,52.36,-1.314,131091,52.36,-1.309
589,53.12,-1.353,165500,53.12,-1.353
590,54.33,-2.991,213077,54.35,-2.99
591,55.93,-3.045,235436,55.93,-3.044
592,50.76,-3.769,9280,50.77,-3.782
593,51.32,0.8616,39772,51.32,0.8705
594,51.42,-2.756,51136,51.42,-2.756
595,53.29,-1.418,172296,53.29,-1.424
596,53.89,-2.558,207180,53.89,-2.573
597,54.76,-2.022,218422,54.76,-2.013
598,56.38,-5.443,240560,56.39,-5.434
599,50.87,0.01904,16999,50.87,0.01884
600,51.08,-0.4638,25612,51.08,-0.4726
601,51.37,0.5543,45185,51.37,0.5544
602,51.54,-3.621,74608,51.54,-3.614
