County,Species,CountySpecies,Agg Total,Agg Present
North Essex,a white-tailed bumblebee,North Essex a white-tailed bumblebee,17,1
North Hampshire,a white-tailed bumblebee,North Hampshire a white-tailed bumblebee,199,1
North Lanarkshire,a white-tailed bumblebee,North Lanarkshire a white-tailed bumblebee,10,1
North Lincolnshire,a white-tailed bumblebee,North Lincolnshire a white-tailed bumblebee,0,0
North Northumberland,a white-tailed bumblebee,North Northumberland a white-tailed bumblebee,72,1
North Somerset,a white-tailed bumblebee,North Somerset a white-tailed bumblebee,1220,1
North Wiltshire,a white-tailed bumblebee,North Wiltshire a white-tailed bumblebee,252,1
North-east Yorkshire,a white-tailed bumblebee,North-east Yorkshire a white-tailed bumblebee,220,1
North-west Yorkshire,a white-tailed bumblebee,North-west Yorkshire a white-tailed bumblebee,185,1
Northamptonshire,a white-tailed bumblebee,Northamptonshire a white-tailed bumblebee,276,1
Northumberland,a white-tailed bumblebee,Northumberland a white-tailed bumblebee,132,1
Nottinghamshire,a white-tailed bumblebee,Nottinghamshire a white-tailed bumblebee,81,1
Orkney,a white-tailed bumblebee,Orkney a white-tailed bumblebee,0,0
Oxfordshire,a white-tailed bumblebee,Oxfordshire a white-tailed bumblebee,148,1
Pembrokeshire,a white-tailed bumblebee,Pembrokeshire a white-tailed bumblebee,171,1
Perthshire,a white-tailed bumblebee,Perthshire a white-tailed bumblebee,14,1
Radnorshire,a white-tailed bumblebee,Radnorshire a white-tailed bumblebee,82,1
Renfrewshire,a white-tailed bumblebee,Renfrewshire a white-tailed bumblebee,712,1
Roxburghshire,a white-tailed bumblebee,Roxburghshire a white-tailed bumblebee,0,0
Shropshire,a white-tailed bumblebee,Shropshire a white-tailed bumblebee,44,1
South Aberdeenshire,a white-tailed bumblebee,South Aberdeenshire a white-tailed bumblebee,455,1
South Devon,a white-tailed bumblebee,South Devon a white-tailed bumblebee,405,1
South East Yorkshire,a white-tailed bumblebee,South East Yorkshire a white-tailed bumblebee,55,1
South Ebudes,a white-tailed bumblebee,South Ebudes a white-tailed bumblebee,58,1
South Essex,a white-tailed bumblebee,South Essex a white-tailed bumblebee,496,1
South Hampshire,a white-tailed bumblebee,South Hampshire a white-tailed bumblebee,468,1
South Lanarkshire,a white-tailed bumblebee,South Lanarkshire a white-tailed bumblebee,50,1
South Lancashire,a white-tailed bumblebee,South Lancashire a white-tailed bumblebee,813,1
South Lincolnshire,a white-tailed bumblebee,South Lincolnshire a white-tailed bumblebee,11,1
South Northumberland,a white-tailed bumblebee,South Northumberland a white-tailed bumblebee,135,1
South Somerset,a white-tailed bumblebee,South Somerset a white-tailed bumblebee,35,1
South Wiltshire,a white-tailed bumblebee,South Wiltshire a white-tailed bumblebee,418,1
South-east Yorkshire,a white-tailed bumblebee,South-east Yorkshire a white-tailed bumblebee,325,1
South-west Yorkshire,a white-tailed bumblebee,South-west Yorkshire a white-tailed bumblebee,294,1
Staffordshire,a white-tailed bumblebee,Staffordshire a white-tailed bumblebee,223,1
Stirlingshire,a white-tailed bumblebee,Stirlingshire a white-tailed bumblebee,602,1
Surrey,a white-tailed bumblebee,Surrey a white-tailed bumblebee,450,1
Sussex,a white-tailed bumblebee,Sussex a white-tailed bumblebee,0,0
Warwickshire,a white-tailed bumblebee,Warwickshire a white-tailed bumblebee,78,1
West Cornwall with Scilly,a white-tailed bumblebee,West Cornwall with Scilly a white-tailed bumblebee,7,1
West Gloucestershire,a white-tailed bumblebee,West Gloucestershire a white-tailed bumblebee,271,1
West Inverness-shire,a white-tailed bumblebee,West Inverness-shire a white-tailed bumblebee,0,0
West Kent,a white-tailed bumblebee,West Kent a white-tailed bumblebee,823,1
West Lancashire,a white-tailed bumblebee,West Lancashire a white-tailed bumblebee,113,1
West Norfolk,a white-tailed bumblebee,West Norfolk a white-tailed bumblebee,210,1
West Perthshire,a white-tailed bumblebee,West Perthshire a white-tailed bumblebee,635,1
West Suffolk,a white-tailed bumblebee,West Suffolk a white-tailed bumblebee,3,1
West Sussex,a white-tailed bumblebee,West Sussex a white-tailed bumblebee,362,1
Westmorland,a white-tailed bumblebee,Westmorland a white-tailed bumblebee,196,1
Worcestershire,a white-tailed bumblebee,Worcestershire a white-tailed bumblebee,138,1
Yorkshire,a white-tailed bumblebee,Yorkshire a white-tailed bumblebee,558,1
Aberdeenshire,Heath Bumblebee,Aberdeenshire Heath Bumblebee,6,1
Alderney,Heath Bumblebee,Alderney Heath Bumblebee,0,0
Angus,Heath Bumblebee,Angus Heath Bumblebee,1,1
Argyll & Bute,Heath Bumblebee,Argyll & Bute Heath Bumblebee,0,0
Argyllshire,Heath Bumblebee,Argyllshire Heath Bumblebee,2,1
Ayrshire,Heath Bumblebee,Ayrshire Heath Bumblebee,0,0
Bedfordshire,Heath Bumblebee,Bedfordshire Heath Bumblebee,0,0
Berkshire,Heath Bumblebee,Berkshire Heath Bumblebee,0,0
Berwickshire,Heath Bumblebee,Berwickshire Heath Bumblebee,0,0
Buckinghamshire,Heath Bumblebee,Buckinghamshire Heath Bumblebee,0,0
Caernarvonshire,Heath Bumblebee,Caernarvonshire Heath Bumblebee,0,0
Caithness,Heath Bumblebee,Caithness Heath Bumblebee,0,0
Camarthenshire,Heath Bumblebee,Camarthenshire Heath Bumblebee,0,0
Cambridgeshire,Heath Bumblebee,Cambridgeshire Heath Bumblebee,0,0
Cardiganshire,Heath Bumblebee,Cardiganshire Heath Bumblebee,0,0
